PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27854115","An investigation into respiratory tract viruses in children with acute lower respiratory tract infection or wheezing","Dabaniyasti D, Eksi F, Keskin Ö, Özkars MY, Karsligil T, Balci I.","Minerva Pediatr. 2020 Feb;72(1):45-54. doi: 10.23736/S0026-4946.16.04322-X. Epub 2016 Nov 17.","Dabaniyasti D","Minerva Pediatr","2020","2016/11/18","","","10.23736/S0026-4946.16.04322-X"
"30256035","Detection of Newcastle Disease, H9N2 Avian Influenza, and Infectious Bronchitis Viruses in Respiratory Diseases in Backyard Chickens in Ahvaz, Iran, in 2014-2015","Broomand Z, Jafari RA, Mayahi M.","Arch Razi Inst. 2018 Dec;73(1):19-25. doi: 10.22092/ARI.2018.114056. Epub 2016 Nov 20.","Broomand Z","Arch Razi Inst","2018","2018/09/27","","","10.22092/ARI.2018.114056"
"30505188","Middle East respiratory syndrome coronavirus (MERS-CoV): Impact on Saudi Arabia, 2015","Faridi U.","Saudi J Biol Sci. 2018 Nov;25(7):1402-1405. doi: 10.1016/j.sjbs.2016.09.020. Epub 2016 Oct 1.","Faridi U","Saudi J Biol Sci","2018","2018/12/04","PMC6252006","","10.1016/j.sjbs.2016.09.020"
"27216828","Factors influencing emergency nurses' ethical problems during the outbreak of MERS-CoV","Choi JS, Kim JS.","Nurs Ethics. 2018 May;25(3):335-345. doi: 10.1177/0969733016648205. Epub 2016 May 23.","Choi JS","Nurs Ethics","2018","2016/05/25","","","10.1177/0969733016648205"
"27288312","Neutrophils and viral-induced neurologic disease","Grist JJ, Marro B, Lane TE.","Clin Immunol. 2018 Apr;189:52-56. doi: 10.1016/j.clim.2016.05.009. Epub 2016 Jun 8.","Grist JJ","Clin Immunol","2018","2016/06/12","PMC5145788","NIHMS797341","10.1016/j.clim.2016.05.009"
"27637887","Identification of a Lineage D Betacoronavirus in Cave Nectar Bats (Eonycteris spelaea) in Singapore and an Overview of Lineage D Reservoir Ecology in SE Asian Bats","Mendenhall IH, Borthwick S, Neves ES, Low D, Linster M, Liang B, Skiles M, Jayakumar J, Han H, Gunalan V, Lee BPY, Okahara K, Wang LF, Maurer-Stroh S, Su YCF, Smith GJD.","Transbound Emerg Dis. 2017 Dec;64(6):1790-1800. doi: 10.1111/tbed.12568. Epub 2016 Sep 16.","Mendenhall IH","Transbound Emerg Dis","2017","2016/09/18","PMC7159162","","10.1111/tbed.12568"
"27161288","Experimental Infection of Young Pigs with an Early European Strain of Porcine Epidemic Diarrhoea Virus and a Recent US Strain","Lohse L, Krog JS, Strandbygaard B, Rasmussen TB, Kjaer J, Belsham GJ, Bøtner A.","Transbound Emerg Dis. 2017 Oct;64(5):1380-1386. doi: 10.1111/tbed.12509. Epub 2016 May 10.","Lohse L","Transbound Emerg Dis","2017","2016/05/11","PMC7169680","","10.1111/tbed.12509"
"27555489","Frequency of electrophoretic changes consistent with feline infectious peritonitis in two different time periods (2004-2009 vs 2013-2014)","Stranieri A, Giordano A, Bo S, Braghiroli C, Paltrinieri S.","J Feline Med Surg. 2017 Aug;19(8):880-887. doi: 10.1177/1098612X16664389. Epub 2016 Aug 23.","Stranieri A","J Feline Med Surg","2017","2016/08/25","","","10.1177/1098612X16664389"
"27964998","Vaccines for porcine epidemic diarrhea virus and other swine coronaviruses","Gerdts V, Zakhartchouk A.","Vet Microbiol. 2017 Jul;206:45-51. doi: 10.1016/j.vetmic.2016.11.029. Epub 2016 Dec 2.","Gerdts V","Vet Microbiol","2017","2016/12/15","PMC7117160","","10.1016/j.vetmic.2016.11.029"
"27502524","Are Saudi medical students aware of middle east respiratory syndrome coronavirus during an outbreak?","Al-Mohrej A, Agha S.","J Infect Public Health. 2017 Jul-Aug;10(4):388-395. doi: 10.1016/j.jiph.2016.06.013. Epub 2016 Aug 5.","Al-Mohrej A","J Infect Public Health","2017","2016/08/10","PMC7102843","","10.1016/j.jiph.2016.06.013"
