PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33222600","Is your vision blurry? A systematic review of home-based visual acuity for telemedicine","Samanta A, Mauntana S, Barsi Z, Yarlagadda B, Nelson PC.","J Telemed Telecare. 2023 Feb;29(2):81-90. doi: 10.1177/1357633X20970398. Epub 2020 Nov 22.","Samanta A","J Telemed Telecare","2023","2020/11/23","","","10.1177/1357633X20970398"
"33172859","Correspondence on 'prevalence and clinical outcomes of COVID-19 in patients with autoimmune diseases: a systematic review and meta-analysis'","Shi J, Gao Y, Zhang L, Zhao Y, Xu J, Tian J.","Ann Rheum Dis. 2023 Feb;82(2):e28. doi: 10.1136/annrheumdis-2020-219377. Epub 2020 Nov 10.","Shi J","Ann Rheum Dis","2023","2020/11/11","","","10.1136/annrheumdis-2020-219377"
"33416245","Heparin-Induced Thrombocytopenia in a Patient With Coronavirus Disease-19: Diagnostic and Management Challenge","Kewan T, Covut F, Daw H, Haddad A.","Am J Ther. 2023 Jan-Feb 01;30(1):e87-e89. doi: 10.1097/MJT.0000000000001282. Epub 2020 Dec 29.","Kewan T","Am J Ther","2023","2021/01/08","","","10.1097/MJT.0000000000001282"
"33281272","Time varying Markov process with partially observed aggregate data: An application to coronavirus","Gourieroux C, Jasiak J.","J Econom. 2023 Jan;232(1):35-51. doi: 10.1016/j.jeconom.2020.09.007. Epub 2020 Nov 28.","Gourieroux C","J Econom","2023","2020/12/07","PMC7698670","","10.1016/j.jeconom.2020.09.007"
"33217038","Chasing COVID-19 chemotherapeutics without putting the cart before the horse","Rannard SP, McDonald TO, Owen A.","Br J Clin Pharmacol. 2023 Jan;89(1):421-423. doi: 10.1111/bcp.14575. Epub 2020 Nov 20.","Rannard SP","Br J Clin Pharmacol","2023","2020/11/20","PMC7753793","","10.1111/bcp.14575"
"33168360","Evaluating the Quality of Rigid Optic Videolaryngoscopy Image Taken Through Dental Protection Cap and Its Feasibility as Additional Barrier Method Against COVID-19","Nagata Cavalheiro M, Fonseca VR, Zeigelboim BS, Costa DF, de Lima LV, Bozzo MK, Tonochi RC, Hartmann BC.","J Voice. 2023 Jan;37(1):141.e13-141.e21. doi: 10.1016/j.jvoice.2020.10.014. Epub 2020 Nov 2.","Nagata Cavalheiro M","J Voice","2023","2020/11/10","PMC7605857","","10.1016/j.jvoice.2020.10.014"
"33372575","A case of COVID-19 with multiple cranial neuropathies","Gogia B, Gil Guevara A, Rai PK, Fang X.","Int J Neurosci. 2022 Dec;132(12):1187-1189. doi: 10.1080/00207454.2020.1869001. Epub 2020 Dec 30.","Gogia B","Int J Neurosci","2022","2020/12/29","","","10.1080/00207454.2020.1869001"
"33322959","Pregnancy outcomes among symptomatic and asymptomatic women infected with COVID-19 in the west of Iran: a case-control study","Jenabi E, Bashirian S, Khazaei S, Masoumi SZ, Ghelichkhani S, Goodarzi F, Mirzaei M.","J Matern Fetal Neonatal Med. 2022 Dec;35(24):4695-4697. doi: 10.1080/14767058.2020.1861599. Epub 2020 Dec 15.","Jenabi E","J Matern Fetal Neonatal Med","2022","2020/12/16","","","10.1080/14767058.2020.1861599"
"33314960","Impact of COVID Lockdown on the Presentation of Nasal Foreign Bodies to a Tertiary Care Center","Roy S, Jain N, Narang E, Singh J, Gupta N.","Ear Nose Throat J. 2022 Dec;101(10):NP453-NP458. doi: 10.1177/0145561320981438. Epub 2020 Dec 14.","Roy S","Ear Nose Throat J","2022","2020/12/14","","","10.1177/0145561320981438"
"33289583","Corrigendum to Efficacy of Povidone-Iodine Nasal and Oral Antiseptic Preparations Against Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)","","Ear Nose Throat J. 2022 Dec;101(10):NP468. doi: 10.1177/0145561320977784. Epub 2020 Dec 8.","","Ear Nose Throat J","2022","2020/12/08","","","10.1177/0145561320977784"
"33275034","Institution-Specific Strategies for Head and Neck Oncology Triage During the COVID-19 Pandemic","Freeman MH, Shinn JR, Langerman A.","Ear Nose Throat J. 2022 Dec;101(10):668-670. doi: 10.1177/0145561320975509. Epub 2020 Dec 4.","Freeman MH","Ear Nose Throat J","2022","2020/12/04","PMC7720027","","10.1177/0145561320975509"
"33249969","Clinical course of novel COVID-19 infection in pregnant women","Shmakov RG, Prikhodko A, Polushkina E, Shmakova E, Pyregov A, Bychenko V, Priputnevich TV, Dolgushin GO, Yarotskaya E, Pekarev O, Bolibok N, Degtyarev D, Sukhikh GT.","J Matern Fetal Neonatal Med. 2022 Dec;35(23):4431-4437. doi: 10.1080/14767058.2020.1850683. Epub 2020 Nov 29.","Shmakov RG","J Matern Fetal Neonatal Med","2022","2020/11/30","PMC7711745","","10.1080/14767058.2020.1850683"
"33249952","Response to ""Letter to the editor regarding the article: COVID-19 and maternal, fetal and neonatal mortality: a systematic review""","Hessami K.","J Matern Fetal Neonatal Med. 2022 Dec;35(23):4506. doi: 10.1080/14767058.2020.1852214. Epub 2020 Nov 29.","Hessami K","J Matern Fetal Neonatal Med","2022","2020/11/30","","","10.1080/14767058.2020.1852214"
"33243043","The impact of the COVID-19 pandemic on depression and stress levels in pregnant women: a national survey during the COVID-19 pandemic in Mexico","Medina-Jimenez V, Bermudez-Rojas ML, Murillo-Bargas H, Rivera-Camarillo AC, Muñoz-Acosta J, Ramirez-Abarca TG, Esparza-Valencia DM, Angeles-Torres AC, Lara-Avila L, Hernandez-Muñoz VA, Madrigal-Tejeda FJ, Estudillo-Jimenez GE, Jacobo-Enciso LM, Torres-Torres J, Espino-Y-Sosa S, Baltazar-Martinez M, Villanueva-Calleja J, Nava-Sanchez AE, Mendoza-Carrera CE, Aguilar-Torres C, Celis-Gonzalez C, Martinez-Portilla RJ.","J Matern Fetal Neonatal Med. 2022 Dec;35(23):4438-4441. doi: 10.1080/14767058.2020.1851675. Epub 2020 Nov 26.","Medina-Jimenez V","J Matern Fetal Neonatal Med","2022","2020/11/27","","","10.1080/14767058.2020.1851675"
"33219008","Response to: 'Correspondence on 'Paediatric multisystem inflammatory syndrome temporally associated with SARS-CoV-2 mimicking Kawasaki disease (Kawa-COVID-19): a multicentre cohort' by Ventura et al'","Chommeloux J, Pouletty M, Ouldali N, Kerneis M, Mathian A, Mestiri R, Rohmer J, Hekimian G, Melki I; Great Paris Region (GPR) Kawa-COVID-19 consortium.","Ann Rheum Dis. 2022 Dec;81(12):e240. doi: 10.1136/annrheumdis-2020-218984. Epub 2020 Nov 20.","Chommeloux J","Ann Rheum Dis","2022","2020/11/21","","","10.1136/annrheumdis-2020-218984"
"33394823","Impact of the COVID-19 Pandemic on Continuous EEG Utilization","Zafar SF, Khozein RJ, LaRoche SM, Westover MB, Gilmore EJ.","J Clin Neurophysiol. 2022 Nov 1;39(7):567-574. doi: 10.1097/WNP.0000000000000802. Epub 2020 Dec 22.","Zafar SF","J Clin Neurophysiol","2022","2021/01/04","PMC8217411","NIHMS1643842","10.1097/WNP.0000000000000802"
"33332158","COVID-19-related diffuse posthypoxic leukoencephalopathy and microbleeds masquerades as acute necrotizing encephalopathy","Tristán-Samaniego DP, Chiquete E, Treviño-Frenk I, Rubalcava-Ortega J, Higuera-Calleja JA, Romero-Sánchez G, Espinoza-Alvarado L, Barrera-Vargas A, Flores-Silva F, González-Duarte A, Vega-Boada F, Cantú-Brito C.","Int J Neurosci. 2022 Nov;132(11):1123-1127. doi: 10.1080/00207454.2020.1865346. Epub 2020 Dec 30.","Tristán-Samaniego DP","Int J Neurosci","2022","2020/12/17","","","10.1080/00207454.2020.1865346"
"33249963","Perinatal COVID-19 outcomes: evaluating the strength of current evidence","Sulentic RO, Seferovic MD, Aagaard KM, Valentine GC.","J Matern Fetal Neonatal Med. 2022 Nov;35(22):4250-4257. doi: 10.1080/14767058.2020.1849101. Epub 2020 Nov 29.","Sulentic RO","J Matern Fetal Neonatal Med","2022","2020/11/30","","","10.1080/14767058.2020.1849101"
"33239273","Response to: 'Antirheumatic drugs, B cell depletion and critical COVID-19: correspondence on 'Clinical course of coronavirus disease 2019 (COVID-19) in a series of 17 patients with systemic lupus erythematosus under long-term treatment with hydroxychloroquine by Mathian et al' by Notz et al","Mathian A, Amoura Z.","Ann Rheum Dis. 2022 Nov;81(11):e217. doi: 10.1136/annrheumdis-2020-218795. Epub 2020 Nov 25.","Mathian A","Ann Rheum Dis","2022","2020/11/26","","","10.1136/annrheumdis-2020-218795"
"33236644","The Anticoagulant Therapy for Otogenic Sigmoid Sinus Thrombophlebitis: A Case Report and Literature Review","Yuan L, Yuan J, Sun Y, Wang Y.","Ear Nose Throat J. 2022 Nov;101(9):NP379-NP382. doi: 10.1177/0145561320976405. Epub 2020 Nov 25.","Yuan L","Ear Nose Throat J","2022","2020/11/25","","","10.1177/0145561320976405"
"33225779","Is respiratory syncytial virus infection more dangerous than COVID 19 in the neonatal period?","Alkan Ozdemir S, Soysal B, Calkavur S, Gökmen Yıldırım T, Kıymet E, Kalkanlı O, Çolak R, Devrim İ.","J Matern Fetal Neonatal Med. 2022 Nov;35(22):4398-4403. doi: 10.1080/14767058.2020.1849125. Epub 2020 Nov 22.","Alkan Ozdemir S","J Matern Fetal Neonatal Med","2022","2020/11/23","","","10.1080/14767058.2020.1849125"
"33213230","Clinical characteristics of confirmed COVID-19 in newborns: a systematic review","Karabay M, Çınar N, Karakaya Suzan Ö, Yalnızoğlu Çaka S, Karabay O.","J Matern Fetal Neonatal Med. 2022 Nov;35(22):4386-4397. doi: 10.1080/14767058.2020.1849124. Epub 2020 Nov 19.","Karabay M","J Matern Fetal Neonatal Med","2022","2020/11/20","","","10.1080/14767058.2020.1849124"
"33179546","The COVID-19 stress may influence on the sex ratio at birth","Abdoli A.","J Matern Fetal Neonatal Med. 2022 Nov;35(21):4043-4048. doi: 10.1080/14767058.2020.1846181. Epub 2020 Nov 12.","Abdoli A","J Matern Fetal Neonatal Med","2022","2020/11/12","","","10.1080/14767058.2020.1846181"
"33518800","Modelling COVID-19 transmission in the United States through interstate and foreign travels and evaluating impact of governmental public health interventions","Shah NH, Sheoran N, Jayswal E, Shukla D, Shukla N, Shukla J, Shah Y.","J Math Anal Appl. 2022 Oct 15;514(2):124896. doi: 10.1016/j.jmaa.2020.124896. Epub 2020 Dec 22.","Shah NH","J Math Anal Appl","2022","2021/02/01","PMC7831472","","10.1016/j.jmaa.2020.124896"
