PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31373532","Evaluation of polymorphisms in inflammatory mediator and cellular adhesion genes as risk factors for feline infectious peritonitis","Kedward-Dixon H, Barker EN, Tasker S, Kipar A, Helps CR.","J Feline Med Surg. 2020 Jun;22(6):564-570. doi: 10.1177/1098612X19865637. Epub 2019 Aug 2.","Kedward-Dixon H","J Feline Med Surg","2020","2019/08/03","","","10.1177/1098612X19865637"
"31776891","Human bocavirus in children hospitalized for acute respiratory tract infection in Rome","Petrarca L, Nenna R, Frassanito A, Pierangeli A, Di Mattia G, Scagnolari C, Midulla F.","World J Pediatr. 2020 Jun;16(3):293-298. doi: 10.1007/s12519-019-00324-5. Epub 2019 Nov 27.","Petrarca L","World J Pediatr","2020","2019/11/29","PMC7091143","","10.1007/s12519-019-00324-5"
"31917362","Molecular epidemiology of infectious bronchitis virus in Poland from 1980 to 2017","Domanska-Blicharz K, Lisowska A, Sajewicz-Krukowska J.","Infect Genet Evol. 2020 Jun;80:104177. doi: 10.1016/j.meegid.2020.104177. Epub 2020 Jan 7.","Domanska-Blicharz K","Infect Genet Evol","2020","2020/01/10","PMC7173311","","10.1016/j.meegid.2020.104177"
"31951468","Characterization of infectious bronchitis virus D181, a new serotype (GII-2)","Molenaar RJ, Dijkman R, de Wit JJ.","Avian Pathol. 2020 Jun;49(3):243-250. doi: 10.1080/03079457.2020.1713987. Epub 2020 Feb 7.","Molenaar RJ","Avian Pathol","2020","2020/01/18","","","10.1080/03079457.2020.1713987"
"31955138","Design, synthesis and molecular docking of novel triazole derivatives as potential CoV helicase inhibitors","Zaher NH, Mostafa MI, Altaher AY.","Acta Pharm. 2020 Jun 1;70(2):145-159. doi: 10.2478/acph-2020-0024.","Zaher NH","Acta Pharm","2020","2020/01/20","","","10.2478/acph-2020-0024"
"31985363","Regulation of Immunity-Related Genes by Infectious Bronchitis Virus Challenge in Spleen of Laying Chickens","Khan S, Roberts J, Wu SB.","Viral Immunol. 2020 Jun;33(5):413-420. doi: 10.1089/vim.2019.0139. Epub 2020 Jan 27.","Khan S","Viral Immunol","2020","2020/01/28","","","10.1089/vim.2019.0139"
"32026147","Diagnosis and treatment of 2019 novel coronavirus infection in children: a pressing issue","Shen KL, Yang YH.","World J Pediatr. 2020 Jun;16(3):219-221. doi: 10.1007/s12519-020-00344-6. Epub 2020 Feb 5.","Shen KL","World J Pediatr","2020","2020/02/07","PMC7091265","","10.1007/s12519-020-00344-6"
"32026148","Diagnosis and treatment recommendations for pediatric respiratory infection caused by the 2019 novel coronavirus","Chen ZM, Fu JF, Shu Q, Chen YH, Hua CZ, Li FB, Lin R, Tang LF, Wang TL, Wang W, Wang YS, Xu WZ, Yang ZH, Ye S, Yuan TM, Zhang CM, Zhang YY.","World J Pediatr. 2020 Jun;16(3):240-246. doi: 10.1007/s12519-020-00345-5. Epub 2020 Feb 5.","Chen ZM","World J Pediatr","2020","2020/02/07","PMC7091166","","10.1007/s12519-020-00345-5"
"32034637","Clinical Features and Treatment of 2019-nCov Pneumonia Patients in Wuhan: Report of A Couple Cases","Zhang Z, Li X, Zhang W, Shi ZL, Zheng Z, Wang T.","Virol Sin. 2020 Jun;35(3):330-336. doi: 10.1007/s12250-020-00203-8. Epub 2020 Feb 7.","Zhang Z","Virol Sin","2020","2020/02/09","PMC7091133","","10.1007/s12250-020-00203-8"
"32034638","Compensation of ACE2 Function for Possible Clinical Management of 2019-nCoV-Induced Acute Lung Injury","Wu Y.","Virol Sin. 2020 Jun;35(3):256-258. doi: 10.1007/s12250-020-00205-6. Epub 2020 Feb 7.","Wu Y","Virol Sin","2020","2020/02/09","PMC7091449","","10.1007/s12250-020-00205-6"
"32034659","Diagnosis, treatment, and prevention of 2019 novel coronavirus infection in children: experts' consensus statement","Shen K, Yang Y, Wang T, Zhao D, Jiang Y, Jin R, Zheng Y, Xu B, Xie Z, Lin L, Shang Y, Lu X, Shu S, Bai Y, Deng J, Lu M, Ye L, Wang X, Wang Y, Gao L; China National Clinical Research Center for Respiratory Diseases; National Center for Children’s Health, Beijing, China; Group of Respirology, Chinese Pediatric Society, Chinese Medical Association; Chinese Medical Doctor Association Committee on Respirology Pediatrics; China Medicine Education Association Committee on Pediatrics; Chinese Research Hospital Association Committee on Pediatrics; Chinese Non-government Medical Institutions Association Committee on Pediatrics; China Association of Traditional Chinese Medicine, Committee on Children’s Health and Medicine Research; China News of Drug Information Association, Committee on Children’s Safety Medication; Global Pediatric Pulmonology Alliance.","World J Pediatr. 2020 Jun;16(3):223-231. doi: 10.1007/s12519-020-00343-7. Epub 2020 Feb 7.","Shen K","World J Pediatr","2020","2020/02/09","PMC7090771","","10.1007/s12519-020-00343-7"
"32035811","Emerging threats from zoonotic coronaviruses-from SARS and MERS to 2019-nCoV","Lee PI, Hsueh PR.","J Microbiol Immunol Infect. 2020 Jun;53(3):365-367. doi: 10.1016/j.jmii.2020.02.001. Epub 2020 Feb 4.","Lee PI","J Microbiol Immunol Infect","2020","2020/02/10","PMC7102579","","10.1016/j.jmii.2020.02.001"
"32037473","New coronavirus: new challenges for pediatricians","Chen ZM, Fu JF, Shu Q.","World J Pediatr. 2020 Jun;16(3):222. doi: 10.1007/s12519-020-00346-4. Epub 2020 Feb 10.","Chen ZM","World J Pediatr","2020","2020/02/11","PMC7090857","","10.1007/s12519-020-00346-4"
"32048130","Old Weapon for New Enemy: Drug Repurposing for Treatment of Newly Emerging Viral Diseases","Guo D.","Virol Sin. 2020 Jun;35(3):253-255. doi: 10.1007/s12250-020-00204-7. Epub 2020 Feb 11.","Guo D","Virol Sin","2020","2020/02/13","PMC7090748","","10.1007/s12250-020-00204-7"
"32053470","Time Course of Lung Changes at Chest CT during Recovery from Coronavirus Disease 2019 (COVID-19)","Pan F, Ye T, Sun P, Gui S, Liang B, Li L, Zheng D, Wang J, Hesketh RL, Yang L, Zheng C.","Radiology. 2020 Jun;295(3):715-721. doi: 10.1148/radiol.2020200370. Epub 2020 Feb 13.","Pan F","Radiology","2020","2020/02/14","PMC7233367","","10.1148/radiol.2020200370"
"32055945","Initial CT findings and temporal changes in patients with the novel coronavirus pneumonia (2019-nCoV): a study of 63 patients in Wuhan, China","Pan Y, Guan H, Zhou S, Wang Y, Li Q, Zhu T, Hu Q, Xia L.","Eur Radiol. 2020 Jun;30(6):3306-3309. doi: 10.1007/s00330-020-06731-x. Epub 2020 Feb 13.","Pan Y","Eur Radiol","2020","2020/02/15","PMC7087663","","10.1007/s00330-020-06731-x"
"32060789","The First Disease X is Caused by a Highly Transmissible Acute Respiratory Syndrome Coronavirus","Jiang S, Shi ZL.","Virol Sin. 2020 Jun;35(3):263-265. doi: 10.1007/s12250-020-00206-5. Epub 2020 Feb 14.","Jiang S","Virol Sin","2020","2020/02/16","PMC7091198","","10.1007/s12250-020-00206-5"
"32067542","Fatal encephalitis associated with coronavirus OC43 in an immunocompromised child","Nilsson A, Edner N, Albert J, Ternhag A.","Infect Dis (Lond). 2020 Jun;52(6):419-422. doi: 10.1080/23744235.2020.1729403. Epub 2020 Feb 18.","Nilsson A","Infect Dis (Lond)","2020","2020/02/19","","","10.1080/23744235.2020.1729403"
"32072255","Outbreak of novel coronavirus (COVID-19): What is the role of radiologists?","Kim H.","Eur Radiol. 2020 Jun;30(6):3266-3267. doi: 10.1007/s00330-020-06748-2. Epub 2020 Feb 18.","Kim H","Eur Radiol","2020","2020/02/20","PMC7087878","","10.1007/s00330-020-06748-2"
"32077789","Chest CT Findings in Coronavirus Disease-19 (COVID-19): Relationship to Duration of Infection","Bernheim A, Mei X, Huang M, Yang Y, Fayad ZA, Zhang N, Diao K, Lin B, Zhu X, Li K, Li S, Shan H, Jacobi A, Chung M.","Radiology. 2020 Jun;295(3):200463. doi: 10.1148/radiol.2020200463. Epub 2020 Feb 20.","Bernheim A","Radiology","2020","2020/02/21","PMC7233369","","10.1148/radiol.2020200463"
"32083328","COVID-2019: The role of the nsp2 and nsp3 in its pathogenesis","Angeletti S, Benvenuto D, Bianchi M, Giovanetti M, Pascarella S, Ciccozzi M.","J Med Virol. 2020 Jun;92(6):584-588. doi: 10.1002/jmv.25719. Epub 2020 Feb 28.","Angeletti S","J Med Virol","2020","2020/02/22","PMC7228367","","10.1002/jmv.25719"
"32086938","The SARS, MERS and novel coronavirus (COVID-19) epidemics, the newest and biggest global health threats: what lessons have we learned?","Peeri NC, Shrestha N, Rahman MS, Zaki R, Tan Z, Bibi S, Baghbanzadeh M, Aghamohammadi N, Zhang W, Haque U.","Int J Epidemiol. 2020 Jun 1;49(3):717-726. doi: 10.1093/ije/dyaa033.","Peeri NC","Int J Epidemiol","2020","2020/02/23","PMC7197734","","10.1093/ije/dyaa033"
"32091134","Facing the COVID-19 outbreak: What should we know and what could we do?","Yang Y, Shang W, Rao X.","J Med Virol. 2020 Jun;92(6):536-537. doi: 10.1002/jmv.25720. Epub 2020 Mar 5.","Yang Y","J Med Virol","2020","2020/02/25","PMC7228352","","10.1002/jmv.25720"
"32092385","The continuous evolution and dissemination of 2019 novel human coronavirus","Zhang J, Ma K, Li H, Liao M, Qi W.","J Infect. 2020 Jun;80(6):671-693. doi: 10.1016/j.jinf.2020.02.001. Epub 2020 Feb 22.","Zhang J","J Infect","2020","2020/02/25","PMC7127192","","10.1016/j.jinf.2020.02.001"
"32092387","Clinical features of atypical 2019 novel coronavirus pneumonia with an initially negative RT-PCR assay","Hao W, Li M.","J Infect. 2020 Jun;80(6):671-693. doi: 10.1016/j.jinf.2020.02.008. Epub 2020 Feb 22.","Hao W","J Infect","2020","2020/02/25","PMC7126654","","10.1016/j.jinf.2020.02.008"
"32092391","Novel coronavirus (2019-nCoV) cases in Hong Kong and implications for further spread","Kwok KO, Wong V, Wei VWI, Wong SYS, Tang JW.","J Infect. 2020 Jun;80(6):671-693. doi: 10.1016/j.jinf.2020.02.002. Epub 2020 Feb 22.","Kwok KO","J Infect","2020","2020/02/25","PMC7126916","","10.1016/j.jinf.2020.02.002"
"32096564","Combination of RT-qPCR testing and clinical features for diagnosis of COVID-19 facilitates management of SARS-CoV-2 outbreak","Wang Y, Kang H, Liu X, Tong Z.","J Med Virol. 2020 Jun;92(6):538-539. doi: 10.1002/jmv.25721. Epub 2020 Mar 11.","Wang Y","J Med Virol","2020","2020/02/26","PMC7233289","","10.1002/jmv.25721"
"32096566","Early phylogenetic estimate of the effective reproduction number of SARS-CoV-2","Lai A, Bergna A, Acciarri C, Galli M, Zehender G.","J Med Virol. 2020 Jun;92(6):675-679. doi: 10.1002/jmv.25723. Epub 2020 Mar 3.","Lai A","J Med Virol","2020","2020/02/26","PMC7228357","","10.1002/jmv.25723"
"32096567","Understanding of COVID-19 based on current evidence","Sun P, Lu X, Xu C, Sun W, Pan B.","J Med Virol. 2020 Jun;92(6):548-551. doi: 10.1002/jmv.25722. Epub 2020 Mar 5.","Sun P","J Med Virol","2020","2020/02/26","PMC7228250","","10.1002/jmv.25722"
