PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32644876","Nutrients in prevention, treatment, and management of viral infections; special focus on Coronavirus","BourBour F, Mirzaei Dahka S, Gholamalizadeh M, Akbari ME, Shadnoush M, Haghighi M, Taghvaye-Masoumi H, Ashoori N, Doaei S.","Arch Physiol Biochem. 2023 Feb;129(1):16-25. doi: 10.1080/13813455.2020.1791188. Epub 2020 Jul 9.","BourBour F","Arch Physiol Biochem","2023","2020/07/10","","","10.1080/13813455.2020.1791188"
"35938060","Crisis-Critical Intellectual Property: Findings From the COVID-19 Pandemic","Tietze F, Vimalnath P, Aristodemou L, Molloy J.","IEEE Trans Eng Manag. 2020 Jun 18;69(5):2039-2056. doi: 10.1109/TEM.2020.2996982. eCollection 2022 Oct.","Tietze F","IEEE Trans Eng Manag","2020","2022/08/08","PMC9328727","","10.1109/TEM.2020.2996982"
"35880307","Mesenchymal stem cells: a new front emerges in coronavirus disease 2019 treatment","Raza SS, Khan MA.","Cytotherapy. 2022 Aug;24(8):755-766. doi: 10.1016/j.jcyt.2020.07.002. Epub 2020 Jul 15.","Raza SS","Cytotherapy","2022","2022/07/26","PMC7362822","","10.1016/j.jcyt.2020.07.002"
"32664761","Considerations on COVID-19 pregnancy: a cases series during outbreak in Bergamo Province, North Italy","Algeri P, Stagnati V, Spazzini MD, Bellan C, Montanelli A, Patelli G, Ciammella M.","J Matern Fetal Neonatal Med. 2022 Aug;35(15):2965-2968. doi: 10.1080/14767058.2020.1791817. Epub 2020 Jul 15.","Algeri P","J Matern Fetal Neonatal Med","2022","2020/07/16","","","10.1080/14767058.2020.1791817"
"32662708","SARS-CoV-2 in the first trimester of pregnancy: potential interference in placentation","da Silva JVF, Silva KSC, Dos Santos Junior VE.","J Matern Fetal Neonatal Med. 2022 Aug;35(15):3004. doi: 10.1080/14767058.2020.1792879. Epub 2020 Jul 14.","da Silva JVF","J Matern Fetal Neonatal Med","2022","2020/07/15","","","10.1080/14767058.2020.1792879"
"32662314","Personal Protective Equipment during the COVID-19 pandemic and operative time in cesarean section: retrospective cohort study","Cuerva MJ, Carbonell M, Martín Palumbo G, Lopez Magallon S, De La Calle M, Bartha JL.","J Matern Fetal Neonatal Med. 2022 Aug;35(15):2976-2979. doi: 10.1080/14767058.2020.1793324. Epub 2020 Jul 14.","Cuerva MJ","J Matern Fetal Neonatal Med","2022","2020/07/15","","","10.1080/14767058.2020.1793324"
"32627622","Thrombotic microangiopathy, DIC-syndrome and COVID-19: link with pregnancy prothrombotic state","Makatsariya AD, Slukhanchuk EV, Bitsadze VO, Khizroeva JKH, Tretyakova MV, Tsibizova VI, Elalamy I, Gris JC, Grandone E, Makatsariya NA, Mashkova T.","J Matern Fetal Neonatal Med. 2022 Jul;35(13):2536-2544. doi: 10.1080/14767058.2020.1786811. Epub 2020 Jul 6.","Makatsariya AD","J Matern Fetal Neonatal Med","2022","2020/07/07","","","10.1080/14767058.2020.1786811"
"32660281","SARS-CoV-2 infection testing at delivery: a clinical and epidemiological priority","Ferrazzi E, Beretta P, Bianchi S, Cetin I, Guarnerio P, Locatelli A, Marconi AM, Meroni MG, Pavone G, Pintucci A, Prefumo F, Savasi V, Spinillo A, Tassis B, Vergani P, Vignali M, Parazzini F, La Vecchia C.","J Matern Fetal Neonatal Med. 2022 Jun;35(12):2417-2419. doi: 10.1080/14767058.2020.1788532. Epub 2020 Jul 13.","Ferrazzi E","J Matern Fetal Neonatal Med","2022","2020/07/15","","","10.1080/14767058.2020.1788532"
"32635775","Pregnancy and COVID-19: a systematic review of maternal, obstetric and neonatal outcomes","Trocado V, Silvestre-Machado J, Azevedo L, Miranda A, Nogueira-Silva C.","J Matern Fetal Neonatal Med. 2022 Jun;35(12):2362-2374. doi: 10.1080/14767058.2020.1781809. Epub 2020 Jul 7.","Trocado V","J Matern Fetal Neonatal Med","2022","2020/07/09","","","10.1080/14767058.2020.1781809"
"32631126","Maternal and neonatal management during COVID-19","Meena J, Yadav A, Kumar J.","J Matern Fetal Neonatal Med. 2022 Jun;35(12):2427-2428. doi: 10.1080/14767058.2020.1786528. Epub 2020 Jul 7.","Meena J","J Matern Fetal Neonatal Med","2022","2020/07/08","","","10.1080/14767058.2020.1786528"
"32611247","Vertical transmission risk of SARS-CoV-2 infection in the third trimester: a systematic scoping review","Thomas P, Alexander PE, Ahmed U, Elderhorst E, El-Khechen H, Mammen MJ, Debono VB, Aponte Torres Z, Aryal K, Brocard E, Sagastuy B, Alhazzani W.","J Matern Fetal Neonatal Med. 2022 Jun;35(12):2387-2394. doi: 10.1080/14767058.2020.1786055. Epub 2020 Jul 1.","Thomas P","J Matern Fetal Neonatal Med","2022","2020/07/03","","","10.1080/14767058.2020.1786055"
"32602386","Management of mothers and neonates in low resources setting during covid-19 pandemia","Trevisanuto D, Weiner G, Lakshminrusimha S, Azzimonti G, Nsubuga JB, Velaphi S, Seni AHA, Tylleskär T, Putoto G.","J Matern Fetal Neonatal Med. 2022 Jun;35(12):2395-2406. doi: 10.1080/14767058.2020.1784873. Epub 2020 Jun 30.","Trevisanuto D","J Matern Fetal Neonatal Med","2022","2020/07/01","","","10.1080/14767058.2020.1784873"
"32576055","Care of newborns born to mothers with COVID-19 infection; a review of existing evidence","Shahbazi Sighaldeh S, Ebrahimi Kalan M.","J Matern Fetal Neonatal Med. 2022 Jun;35(11):2203-2215. doi: 10.1080/14767058.2020.1777969. Epub 2020 Jun 23.","Shahbazi Sighaldeh S","J Matern Fetal Neonatal Med","2022","2020/06/25","","","10.1080/14767058.2020.1777969"
"32567823","Beyond the lung involvement in COVID-19 patients","Tuttolomondo D, Frizzelli A, Aiello M, Bertorelli G, Majori M, Chetta A.","Minerva Med. 2022 Jun;113(3):558-568. doi: 10.23736/S0026-4806.20.06719-1. Epub 2020 Jun 19.","Tuttolomondo D","Minerva Med","2022","2020/06/23","","","10.23736/S0026-4806.20.06719-1"
"32508168","Effectiveness and safety of available treatments for COVID-19 during pregnancy: a critical review","Favilli A, Mattei Gentili M, Raspa F, Giardina I, Parazzini F, Vitagliano A, Borisova AV, Gerli S.","J Matern Fetal Neonatal Med. 2022 Jun;35(11):2174-2187. doi: 10.1080/14767058.2020.1774875. Epub 2020 Jun 7.","Favilli A","J Matern Fetal Neonatal Med","2022","2020/06/09","PMC7284138","","10.1080/14767058.2020.1774875"
"32778359","Implementation of Telemedicine in a Laryngology Practice During the COVID-19 Pandemic: Lessons Learned, Experiences Shared","Strohl MP, Dwyer CD, Ma Y, Rosen CA, Schneider SL, Young VN.","J Voice. 2022 May;36(3):396-402. doi: 10.1016/j.jvoice.2020.06.017. Epub 2020 Jun 23.","Strohl MP","J Voice","2022","2020/08/12","PMC7309798","","10.1016/j.jvoice.2020.06.017"
"32498581","Relationship between pregnancy and coronavirus: what we know","Forestieri S, Marcialis MA, Migliore L, Panisi C, Fanos V.","J Matern Fetal Neonatal Med. 2022 May;35(10):1997-2008. doi: 10.1080/14767058.2020.1771692. Epub 2020 Jun 4.","Forestieri S","J Matern Fetal Neonatal Med","2022","2020/06/06","","","10.1080/14767058.2020.1771692"
"32837679","Automated Deep Transfer Learning-Based Approach for Detection of COVID-19 Infection in Chest X-rays","Narayan Das N, Kumar N, Kaur M, Kumar V, Singh D.","Ing Rech Biomed. 2022 Apr;43(2):114-119. doi: 10.1016/j.irbm.2020.07.001. Epub 2020 Jul 3.","Narayan Das N","Ing Rech Biomed","2022","2020/08/25","PMC7333623","","10.1016/j.irbm.2020.07.001"
"32624037","The psychological impact of COVID-19 pandemic on medical staff in Guangdong, China: a cross-sectional study","Wang H, Huang D, Huang H, Zhang J, Guo L, Liu Y, Ma H, Geng Q.","Psychol Med. 2022 Apr;52(5):884-892. doi: 10.1017/S0033291720002561. Epub 2020 Jul 6.","Wang H","Psychol Med","2022","2020/07/07","PMC7371926","","10.1017/S0033291720002561"
"32614633","Aneurysmal subarachnoid hemorrhage in a SARS-CoV-2 positive testing: casual or causal?","Rustemi O, Raneri F, Iannucci G, Volpin L, Segna A.","Br J Neurosurg. 2022 Apr;36(2):293-294. doi: 10.1080/02688697.2020.1787343. Epub 2020 Jul 2.","Rustemi O","Br J Neurosurg","2022","2020/07/03","","","10.1080/02688697.2020.1787343"
"32597513","New intriguing possibility for prevention of coronavirus pneumonitis: Natural purified polyphenols","Lo Muzio L, Bizzoca ME, Ravagnan G.","Oral Dis. 2022 Apr;28 Suppl 1(Suppl 1):899-903. doi: 10.1111/odi.13518. Epub 2020 Jul 14.","Lo Muzio L","Oral Dis","2022","2020/06/30","PMC7361353","","10.1111/odi.13518"
"32571438","Emotional distress in young adults during the COVID-19 pandemic: evidence of risk and resilience from a longitudinal cohort study","Shanahan L, Steinhoff A, Bechtiger L, Murray AL, Nivette A, Hepp U, Ribeaud D, Eisner M.","Psychol Med. 2022 Apr;52(5):824-833. doi: 10.1017/S003329172000241X. Epub 2020 Jun 23.","Shanahan L","Psychol Med","2022","2020/06/24","PMC7338432","","10.1017/S003329172000241X"
"32564476","SARS-CoV-2 and oral ulcers: A causative agent or a predisposing factor?","Abu-Hammad S, Dar-Odeh N, Abu-Hammad O.","Oral Dis. 2022 Apr;28 Suppl 1(Suppl 1):933-934. doi: 10.1111/odi.13498. Epub 2020 Jul 13.","Abu-Hammad S","Oral Dis","2022","2020/06/22","PMC7323422","","10.1111/odi.13498"
"32564413","Is 0.5% hydrogen peroxide effective against SARS-CoV-2?","Ortega KL, Rech BO, Ferreira Costa AL, Perez Sayans M, Braz-Silva PH.","Oral Dis. 2022 Apr;28 Suppl 1(Suppl 1):937-939. doi: 10.1111/odi.13503. Epub 2020 Jul 6.","Ortega KL","Oral Dis","2022","2020/06/22","PMC7323093","","10.1111/odi.13503"
