PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36532099","Differences in case-fatality-rate of emerging SARS-CoV-2 variants","Liu J, Wei H, He D.","Public Health Pract (Oxf). 2023 Jun;5:100350. doi: 10.1016/j.puhip.2022.100350. Epub 2022 Dec 10.","Liu J","Public Health Pract (Oxf)","2023","2022/12/19","PMC9741492","","10.1016/j.puhip.2022.100350"
"36507072","One health system supporting surveillance during COVID-19 epidemic in Abruzzo region, southern Italy","Di Lorenzo A, Mangone I, Colangeli P, Cioci D, Curini V, Vincifori G, Mercante MT, Di Pasquale A, Iannetti S.","One Health. 2023 Jun;16:100471. doi: 10.1016/j.onehlt.2022.100471. Epub 2022 Dec 7.","Di Lorenzo A","One Health","2023","2022/12/12","PMC9726647","","10.1016/j.onehlt.2022.100471"
"36348740","CEO duality and firm performance during the 2020 coronavirus outbreak","Hassan MK, Houston R, Karim MS, Sabit A.","J Econ Asymmetries. 2023 Jun;27:e00278. doi: 10.1016/j.jeca.2022.e00278. Epub 2022 Nov 4.","Hassan MK","J Econ Asymmetries","2023","2022/11/09","PMC9633622","","10.1016/j.jeca.2022.e00278"
"36589921","A DNA biosensors-based microfluidic platform for attomolar real-time detection of unamplified SARS-CoV-2 virus","Robin P, Barnabei L, Marocco S, Pagnoncelli J, Nicolis D, Tarantelli C, Tavilla AC, Robortella R, Cascione L, Mayoraz L, Journot CMA, Mensi M, Bertoni F, Stefanini I, Gerber-Lemaire S.","Biosens Bioelectron X. 2023 May;13:100302. doi: 10.1016/j.biosx.2022.100302. Epub 2022 Dec 27.","Robin P","Biosens Bioelectron X","2023","2023/01/02","PMC9793959","","10.1016/j.biosx.2022.100302"
"36544341","Evaluation of Cellular Responses to ChAdOx1-nCoV-19 and BNT162b2 Vaccinations","Lee TH, Nam M, Seo JD, Kim H, Kim HR, Hur M, Yun YM, Moon HW.","Ann Lab Med. 2023 May 1;43(3):290-294. doi: 10.3343/alm.2023.43.3.290. Epub 2022 Dec 22.","Lee TH","Ann Lab Med","2023","2022/12/22","PMC9791012","","10.3343/alm.2023.43.3.290"
"36530849","Nanotechnology-based diagnostic methods for coronavirus: From nucleic acid extraction to amplification","Huang X, Fu R, Qiao S, Zhang J, Xianyu Y.","Biosens Bioelectron X. 2023 May;13:100289. doi: 10.1016/j.biosx.2022.100289. Epub 2022 Dec 10.","Huang X","Biosens Bioelectron X","2023","2022/12/19","PMC9733970","","10.1016/j.biosx.2022.100289"
"36508864","Effect of nanopackaging on the quality of edible mushrooms and its action mechanism: A review","Zheng B, Kou X, Liu C, Wang Y, Yu Y, Ma J, Liu Y, Xue Z.","Food Chem. 2023 May 1;407:135099. doi: 10.1016/j.foodchem.2022.135099. Epub 2022 Dec 7.","Zheng B","Food Chem","2023","2022/12/12","","","10.1016/j.foodchem.2022.135099"
"36471724","Nanoformulations targeting immune cells for cancer therapy: mRNA therapeutics","Yang W, Cao J, Cheng H, Chen L, Yu M, Chen Y, Cui X.","Bioact Mater. 2023 May;23:438-470. doi: 10.1016/j.bioactmat.2022.11.014. Epub 2022 Dec 1.","Yang W","Bioact Mater","2023","2022/12/06","PMC9712057","","10.1016/j.bioactmat.2022.11.014"
"36619799","DFT investigations and molecular docking as potent inhibitors of SARS-CoV-2 main protease of 4-phenylpyrimidine","Celik S.","J Mol Struct. 2023 Apr 5;1277:134895. doi: 10.1016/j.molstruc.2022.134895. Epub 2022 Dec 30.","Celik S","J Mol Struct","2023","2023/01/09","PMC9803264","","10.1016/j.molstruc.2022.134895"
"36608425","An ultrasensitive fluorescence aptasensor for SARS-CoV-2 antigen based on hyperbranched rolling circle amplification","Wang Z, Zhang C, He S, Xu D.","Talanta. 2023 Apr 1;255:124221. doi: 10.1016/j.talanta.2022.124221. Epub 2022 Dec 26.","Wang Z","Talanta","2023","2023/01/06","PMC9792189","","10.1016/j.talanta.2022.124221"
"36597426","Safety and reported adverse effects of coronavirus disease-2019 (COVID-19) vaccines in patients with rheumatic diseases","Aboud FM, Hussein RS, Hassan RM.","Egypt Rheumatol. 2023 Apr;45(2):133-137. doi: 10.1016/j.ejr.2022.12.003. Epub 2022 Dec 30.","Aboud FM","Egypt Rheumatol","2023","2023/01/04","PMC9800813","","10.1016/j.ejr.2022.12.003"
"36588787","COVID-19 prevention behaviour is differentially motivated by primary psychopathy, grandiose narcissism and vulnerable Dark Triad traits","Blanchard AE, Keenan G, Heym N, Sumich A.","Pers Individ Dif. 2023 Apr;204:112060. doi: 10.1016/j.paid.2022.112060. Epub 2022 Dec 27.","Blanchard AE","Pers Individ Dif","2023","2023/01/02","PMC9794185","","10.1016/j.paid.2022.112060"
"36580690","CdTe QDs-sensitized TiO(2) nanocomposite for magnetic-assisted photoelectrochemical immunoassay of SARS-CoV-2 nucleocapsid protein","Guo A, Pei F, Hu W, Xia M, Mu X, Tong Z, Wang F, Liu B.","Bioelectrochemistry. 2023 Apr;150:108358. doi: 10.1016/j.bioelechem.2022.108358. Epub 2022 Dec 23.","Guo A","Bioelectrochemistry","2023","2022/12/29","PMC9783190","","10.1016/j.bioelechem.2022.108358"
"36565525","Development of receptor binding domain-based double-antigen sandwich lateral flow immunoassay for the detection and evaluation of SARS-CoV-2 neutralizing antibody in clinical sera samples compared with the conventional virus neutralization test","Zhang Y, Chen Y, He Y, Li Y, Zhang X, Liang J, He J, Lu S, Gao Z, Xu J, Tang Y.","Talanta. 2023 Apr 1;255:124200. doi: 10.1016/j.talanta.2022.124200. Epub 2022 Dec 21.","Zhang Y","Talanta","2023","2022/12/24","PMC9767659","","10.1016/j.talanta.2022.124200"
"36527584","Liver alterations and detection of SARS-CoV-2 RNA and proteins in COVID-19 autopsies","Pesti A, Danics K, Glasz T, Várkonyi T, Barbai T, Reszegi A, Kovalszky I, Vályi-Nagy I, Dobi D, Lotz G, Schaff Z, Kiss A.","Geroscience. 2023 Apr;45(2):1015-1031. doi: 10.1007/s11357-022-00700-6. Epub 2022 Dec 17.","Pesti A","Geroscience","2023","2022/12/17","PMC9759055","","10.1007/s11357-022-00700-6"
"36462820","Viability of SARS-CoV-2 on lettuce, chicken, and salmon and its inactivation by peracetic acid, ethanol, and chlorine dioxide","Jung S, Yeo D, Wang Z, Woo S, Seo Y, Hossain MI, Choi C.","Food Microbiol. 2023 Apr;110:104164. doi: 10.1016/j.fm.2022.104164. Epub 2022 Oct 14.","Jung S","Food Microbiol","2023","2022/12/03","PMC9560751","","10.1016/j.fm.2022.104164"
"36381640","The impact of early-stage COVID-19 pandemic on the diagnosis and treatment of gastric cancer: A cross-sectional study using a large-scale cancer registry in Hiroshima, Japan","Kodama M, Miyamori D, Kanno K, Ito M.","DEN Open. 2022 Nov 6;3(1):e180. doi: 10.1002/deo2.180. eCollection 2023 Apr.","Kodama M","DEN Open","2022","2022/11/16","PMC9637546","","10.1002/deo2.180"
"36247315","Shielding device for endoscopic procedures during lower gastrointestinal endoscopy","Kikuchi D, Ariyoshi D, Suzuki Y, Ochiai Y, Odagiri H, Hayasaka J, Tanaka M, Morishima T, Kimura K, Ezawa H, Nakagawa S, Iwamoto R, Matsuwaki Y, Hoteya S.","DEN Open. 2022 Oct 10;3(1):e173. doi: 10.1002/deo2.173. eCollection 2023 Apr.","Kikuchi D","DEN Open","2022","2022/10/17","PMC9549874","","10.1002/deo2.173"
"36535329","Efficacy and safety of add-on Viola odorata L. in the treatment of COVID-19: A randomized double-blind controlled trial","Adel Mehraban MS, Shirzad M, Mohammad Taghizadeh Kashani L, Ahmadian-Attari MM, Safari AA, Ansari N, Hatami H, Kamalinejad M.","J Ethnopharmacol. 2023 Mar 25;304:116058. doi: 10.1016/j.jep.2022.116058. Epub 2022 Dec 17.","Adel Mehraban MS","J Ethnopharmacol","2023","2022/12/19","PMC9757886","","10.1016/j.jep.2022.116058"
"36586664","Relationship between the inclusion/exclusion criteria and sample size in randomized controlled trials for SARS-CoV-2 entry inhibitors","Tatematsu D, Akao M, Park H, Iwami S, Ejima K, Iwanami S.","J Theor Biol. 2023 Mar 21;561:111403. doi: 10.1016/j.jtbi.2022.111403. Epub 2022 Dec 28.","Tatematsu D","J Theor Biol","2023","2022/12/31","PMC9794526","","10.1016/j.jtbi.2022.111403"
"36584747","Pandemic modelling for regions implementing an elimination strategy","Hurford A, Martignoni MM, Loredo-Osti JC, Anokye F, Arino J, Husain BS, Gaas B, Watmough J.","J Theor Biol. 2023 Mar 21;561:111378. doi: 10.1016/j.jtbi.2022.111378. Epub 2022 Dec 28.","Hurford A","J Theor Biol","2023","2022/12/30","PMC9794400","","10.1016/j.jtbi.2022.111378"
"36581294","Wastewater-based epidemiology for preventing outbreaks and epidemics in Latin America - Lessons from the past and a look to the future","Prado T, Rey-Benito G, Miagostovich MP, Sato MIZ, Rajal VB, Filho CRM, Pereira AD, Barbosa MRF, Mannarino CF, da Silva AS.","Sci Total Environ. 2023 Mar 20;865:161210. doi: 10.1016/j.scitotenv.2022.161210. Epub 2022 Dec 27.","Prado T","Sci Total Environ","2023","2022/12/29","","","10.1016/j.scitotenv.2022.161210"
"36581271","Normalisation of SARS-CoV-2 concentrations in wastewater: The use of flow, electrical conductivity and crAssphage","Langeveld J, Schilperoort R, Heijnen L, Elsinga G, Schapendonk CEM, Fanoy E, de Schepper EIT, Koopmans MPG, de Graaf M, Medema G.","Sci Total Environ. 2023 Mar 20;865:161196. doi: 10.1016/j.scitotenv.2022.161196. Epub 2022 Dec 26.","Langeveld J","Sci Total Environ","2023","2022/12/29","PMC9791714","","10.1016/j.scitotenv.2022.161196"
"36610342","Efficient inactivation of the contamination with pathogenic microorganisms by a combination of water spray and plasma-activated air","Guo L, Zhao P, Jia Y, Li T, Huang L, Wang Z, Liu D, Hou Z, Zhao Y, Zhang L, Li H, Kong Y, Li J, Wang X, Rong M.","J Hazard Mater. 2023 Mar 15;446:130686. doi: 10.1016/j.jhazmat.2022.130686. Epub 2022 Dec 28.","Guo L","J Hazard Mater","2023","2023/01/07","PMC9796360","","10.1016/j.jhazmat.2022.130686"
"36603423","Wastewater surveillance of SARS-CoV-2 and chemical markers in campus dormitories in an evolving COVID - 19 pandemic","Mohapatra S, Bhatia S, Senaratna KYK, Jong MC, Lim CMB, Gangesh GR, Lee JX, Giek GS, Cheung C, Yutao L, Luhua Y, Yong NH, Peng LC, Wong JCC, Ching NL, Gin KY.","J Hazard Mater. 2023 Mar 15;446:130690. doi: 10.1016/j.jhazmat.2022.130690. Epub 2022 Dec 28.","Mohapatra S","J Hazard Mater","2023","2023/01/05","PMC9795800","","10.1016/j.jhazmat.2022.130690"
"36593875","Current status and future challenges in extraction, purification and identification of Cepharanthine (a potential drug against COVID-19)","Wang Y, Zhou X, Wei S, Wang G, Xi J.","Sep Purif Technol. 2023 Mar 15;309:123038. doi: 10.1016/j.seppur.2022.123038. Epub 2022 Dec 29.","Wang Y","Sep Purif Technol","2023","2023/01/03","PMC9797411","","10.1016/j.seppur.2022.123038"
