PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34812062","Transitioning to telehealth during the coronavirus disease 2019 pandemic: Perspectives from partners of women with cystic fibrosis and healthcare providers","Corcoran J, Marley Campbell C, Ladores S.","Chronic Illn. 2023 Mar;19(1):95-101. doi: 10.1177/17423953211060257. Epub 2021 Nov 23.","Corcoran J","Chronic Illn","2023","2021/11/23","PMC9219411","NIHMS1804568","10.1177/17423953211060257"
"34845674","Racial Disparities in the Perceived Risk of COVID-19 and in Getting Needed Medical Care","Kumar V, Encinosa W.","J Racial Ethn Health Disparities. 2023 Feb;10(1):4-13. doi: 10.1007/s40615-021-01191-5. Epub 2021 Nov 29.","Kumar V","J Racial Ethn Health Disparities","2023","2021/11/30","PMC8629100","","10.1007/s40615-021-01191-5"
"34844509","A systematic drug repurposing approach to identify promising inhibitors from FDA-approved drugs against Nsp4 protein of SARS-CoV-2","Chakraborty J, Maity A, Sarkar H.","J Biomol Struct Dyn. 2023 Feb;41(2):550-559. doi: 10.1080/07391102.2021.2009033. Epub 2021 Nov 30.","Chakraborty J","J Biomol Struct Dyn","2023","2021/11/30","","","10.1080/07391102.2021.2009033"
"34842499","Structural and theoretical investigations, Hirshfeld surface analysis and anti-SARS CoV-2 of nickel (II) coordination complex","Kumar S, Choudhary M.","J Biomol Struct Dyn. 2023 Feb;41(2):402-422. doi: 10.1080/07391102.2021.2006089. Epub 2021 Nov 29.","Kumar S","J Biomol Struct Dyn","2023","2021/11/29","","","10.1080/07391102.2021.2006089"
"34837166","In Silico Analysis of Bacteriocins from Lactic Acid Bacteria Against SARS-CoV-2","Erol I, Kotil SE, Fidan O, Yetiman AE, Durdagi S, Ortakci F.","Probiotics Antimicrob Proteins. 2023 Feb;15(1):17-29. doi: 10.1007/s12602-021-09879-0. Epub 2021 Nov 27.","Erol I","Probiotics Antimicrob Proteins","2023","2021/11/27","PMC8626284","","10.1007/s12602-021-09879-0"
"34821198","In silico screening and covalent binding of phytochemicals of Ocimum sanctum against SARS-CoV-2 (COVID 19) main protease","Mohapatra PK, Chopdar KS, Dash GC, Mohanty AK, Raval MK.","J Biomol Struct Dyn. 2023 Feb;41(2):435-444. doi: 10.1080/07391102.2021.2007170. Epub 2021 Nov 25.","Mohapatra PK","J Biomol Struct Dyn","2023","2021/11/25","","","10.1080/07391102.2021.2007170"
"34647771","A novel remote TSST procedure reliably increases stress reactivity in cannabis users: A pilot study","Reed SC, Oliva A, Gomez SG, Evans SM.","Exp Clin Psychopharmacol. 2023 Feb;31(1):7-13. doi: 10.1037/pha0000528. Epub 2021 Oct 14.","Reed SC","Exp Clin Psychopharmacol","2023","2021/10/14","","","10.1037/pha0000528"
"34630763","[Descriptive analysis of pediatric orthopedic surgical emergencies during the COVID-19 lockdown: Single-center observational study in a pandemic red-zone area in France]","Simon AL, Kassab Hassan S, Julien-Marsollier F, Happiette A, Jehanno P, Delvaque JG, Ilharreborde B.","Revue de chirurgie orthopedique et traumatologique. 2023 Feb;109(1):30-35. doi: 10.1016/j.rcot.2021.09.132. Epub 2021 Oct 2.","Simon AL","","2023","2021/10/11","PMC8486638","","10.1016/j.rcot.2021.09.132"
"36721819","The Potential of Vouacapanes from Pterodon emarginatus Vogel Against COVID-19 Cytokine Storm","Oliveira LAR, da Silva ACG, Thomaz DV, Brandão F, da Conceição EC, Valadares MC, Bara MTF, Silveira D.","Adv Pharm Bull. 2023 Jan;13(1):150-159. doi: 10.34172/apb.2023.016. Epub 2021 Oct 10.","Oliveira LAR","Adv Pharm Bull","2023","2023/02/01","PMC9871284","","10.34172/apb.2023.016"
"36721816","Natural Immunomodulators Treat the Cytokine Storm in SARS-CoV-2","Abbas HS, Abd-Elhakeem MM, Abd El Galil RM, Reyad OA, Mohamed HA, Ismail SES, Nabil MA.","Adv Pharm Bull. 2023 Jan;13(1):79-87. doi: 10.34172/apb.2023.006. Epub 2021 Oct 2.","Abbas HS","Adv Pharm Bull","2023","2023/02/01","PMC9871270","","10.34172/apb.2023.006"
"34876281","Commentary: Respiratory failure in patients with Coronavirus Disease 2019 infection: Can extracorporeal membrane oxygenation help?","Ferraris VA.","J Thorac Cardiovasc Surg. 2023 Jan;165(1):219-220. doi: 10.1016/j.jtcvs.2021.11.003. Epub 2021 Nov 8.","Ferraris VA","J Thorac Cardiovasc Surg","2023","2021/12/08","PMC8574081","","10.1016/j.jtcvs.2021.11.003"
"34848917","An optimization model for planning testing and control strategies to limit the spread of a pandemic - The case of COVID-19","Abdin AF, Fang YP, Caunhye A, Alem D, Barros A, Zio E.","Eur J Oper Res. 2023 Jan 1;304(1):308-324. doi: 10.1016/j.ejor.2021.10.062. Epub 2021 Nov 6.","Abdin AF","Eur J Oper Res","2023","2021/12/01","PMC8614228","","10.1016/j.ejor.2021.10.062"
"34848916","Testing facility location and dynamic capacity planning for pandemics with demand uncertainty","Liu K, Liu C, Xiang X, Tian Z.","Eur J Oper Res. 2023 Jan 1;304(1):150-168. doi: 10.1016/j.ejor.2021.11.028. Epub 2021 Nov 25.","Liu K","Eur J Oper Res","2023","2021/12/01","PMC8613006","","10.1016/j.ejor.2021.11.028"
"34844519","In silico screening of phytochemical compounds and FDA drugs as potential inhibitors for NSP16/10 5' methyl transferase activity","Malik A, Kohli M, Jacob NA, Kayal A, Raj TK, Kulkarni N, Chandramohan V.","J Biomol Struct Dyn. 2023 Jan;41(1):221-233. doi: 10.1080/07391102.2021.2005680. Epub 2021 Nov 30.","Malik A","J Biomol Struct Dyn","2023","2021/11/30","","","10.1080/07391102.2021.2005680"
