PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33888012","Understanding of Stigmatization and Death Amid COVID-19 in India: A Sociological Exploration","Kumari S.","Omega (Westport). 2023 Mar;86(4):1432-1448. doi: 10.1177/00302228211008753. Epub 2021 Apr 22.","Kumari S","Omega (Westport)","2023","2021/04/23","","","10.1177/00302228211008753"
"34036855","Unravelling Pathophysiology of Neurological and Psychiatric Complications of COVID-19 Using Brain Organoids","Ng JH, Sun A, Je HS, Tan EK.","Neuroscientist. 2023 Feb;29(1):30-40. doi: 10.1177/10738584211015136. Epub 2021 May 26.","Ng JH","Neuroscientist","2023","2021/05/26","","","10.1177/10738584211015136"
"34010059","Pediatric Surgical Reentry Strategy Following the COVID-19 Pandemic: A Tiered and Balanced Approach","Pickens RC, Kao AM, Williams MA, Herman AC, Kneisl JS.","Am Surg. 2023 Feb;89(2):267-276. doi: 10.1177/00031348211011125. Epub 2021 May 19.","Pickens RC","Am Surg","2023","2021/05/19","PMC9841456","","10.1177/00031348211011125"
"33901717","Pediatric traumatology in ""green zone"" during Covid-19 lockdown: A single-center study","Bolzinger M, Lopin G, Accadbled F, Sales de Gauzy J, Compagnon R.","Orthop Traumatol Surg Res. 2023 Feb;109(1):102946. doi: 10.1016/j.otsr.2021.102946. Epub 2021 Apr 24.","Bolzinger M","Orthop Traumatol Surg Res","2023","2021/04/26","PMC8064820","","10.1016/j.otsr.2021.102946"
"34003615","Coronavirus Disease 2019 (COVID-19) Treatment Guidelines","","Bethesda (MD): National Institutes of Health (US); 2021 Apr 21–2023 Jan 10.","","Coronavirus Disease 2019 (COVID-19) Treatment Guidelines","2021","2023/01/26","","",""
"34144788","Comparative evaluation of bacterial colonization on removable dental prostheses in patients with COVID-19: A clinical study","Karimzadeh F, Sajedi SM, Taram S, Karimzadeh F.","J Prosthet Dent. 2023 Jan;129(1):147-149. doi: 10.1016/j.prosdent.2021.04.020. Epub 2021 May 21.","Karimzadeh F","J Prosthet Dent","2023","2021/06/19","PMC8139262","","10.1016/j.prosdent.2021.04.020"
"34025813","Novel deep transfer learning model for COVID-19 patient detection using X-ray chest images","Kumar N, Gupta M, Gupta D, Tiwari S.","J Ambient Intell Humaniz Comput. 2023;14(1):469-478. doi: 10.1007/s12652-021-03306-6. Epub 2021 May 15.","Kumar N","J Ambient Intell Humaniz Comput","2023","2021/05/24","PMC8123104","","10.1007/s12652-021-03306-6"
"34015987","Psycholinguistic Markers of COVID-19 Conspiracy Tweets and Predictors of Tweet Dissemination","Rains SA, Leroy G, Warner EL, Harber P.","Health Commun. 2023 Jan;38(1):21-30. doi: 10.1080/10410236.2021.1929691. Epub 2021 May 20.","Rains SA","Health Commun","2023","2021/05/21","","","10.1080/10410236.2021.1929691"
"33935590","[Changes in number of emergency medical service deployments in an urban area during the first COVID-19 pandemic-related contact restriction phase]","Naujoks F, Schweigkofler U, Lenz W, Blau J, Brune I, Lischke V, Adler H, Schindelin I, Rouchi H, Chobotsky H, Gottschalk R.","Notf Rett Med. 2023;26(1):30-38. doi: 10.1007/s10049-021-00875-z. Epub 2021 Apr 23.","Naujoks F","Notf Rett Med","2023","2021/05/03","PMC8063581","","10.1007/s10049-021-00875-z"
"33824850","Agent-based simulation of pedestrian dynamics for exposure time estimation in epidemic risk assessment","Harweg T, Bachmann D, Weichert F.","Z Gesundh Wiss. 2023;31(2):221-228. doi: 10.1007/s10389-021-01489-y. Epub 2021 Apr 1.","Harweg T","Z Gesundh Wiss","2023","2021/04/07","PMC8015933","","10.1007/s10389-021-01489-y"
"33905309","COVID vaccine efficacy against the B.1.351 (""South African"") variant-The urgent need to lay the groundwork for possible future challenge studies","Eyal N, Caplan A, Plotkin S.","Hum Vaccin Immunother. 2022 Dec 31;18(1):1917240. doi: 10.1080/21645515.2021.1917240. Epub 2021 Apr 27.","Eyal N","Hum Vaccin Immunother","2022","2021/04/27","PMC8920165","","10.1080/21645515.2021.1917240"
"36388071","The Pediatric Intensive Care Unit as a Critical Care Setting for Adults during the COVID-19 Pandemic: A Service Evaluation","Fitchett EJA, Rubens M, Styles K, Bycroft T, Nadel S, Gómez CMH, Mitting R.","J Pediatr Intensive Care. 2021 Apr 1;11(4):335-340. doi: 10.1055/s-0041-1726454. eCollection 2022 Dec.","Fitchett EJA","J Pediatr Intensive Care","2021","2022/11/17","PMC9649292","","10.1055/s-0041-1726454"
"34134916","Hypozincemia in the early stage of COVID-19 is associated with an increased risk of severe COVID-19","Fromonot J, Gette M, Ben Lassoued A, Guéant JL, Guéant-Rodriguez RM, Guieu R.","Clin Nutr. 2022 Dec;41(12):3115-3119. doi: 10.1016/j.clnu.2021.04.042. Epub 2021 May 4.","Fromonot J","Clin Nutr","2022","2021/06/17","PMC8093004","","10.1016/j.clnu.2021.04.042"
