PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date
30256035,"Detection of Newcastle Disease, H9N2 Avian Influenza, and Infectious Bronchitis Viruses in Respiratory Diseases in Backyard Chickens in Ahvaz, Iran, in 2014-2015","Broomand Z, Jafari RA, Mayahi M.",Arch Razi Inst. 2018 Dec;73(1):19-25. doi: 10.22092/ARI.2018.114056. Epub 2016 Nov 20.,Broomand Z,Arch Razi Inst,2018,2018/09/27
30505188,"Middle East respiratory syndrome coronavirus (MERS-CoV): Impact on Saudi Arabia, 2015",Faridi U.,Saudi J Biol Sci. 2018 Nov;25(7):1402-1405. doi: 10.1016/j.sjbs.2016.09.020. Epub 2016 Oct 1.,Faridi U,Saudi J Biol Sci,2018,2018/12/04
27216828,Factors influencing emergency nurses' ethical problems during the outbreak of MERS-CoV,"Choi JS, Kim JS.",Nurs Ethics. 2018 May;25(3):335-345. doi: 10.1177/0969733016648205. Epub 2016 May 23.,Choi JS,Nurs Ethics,2018,2016/05/25
27288312,Neutrophils and viral-induced neurologic disease,"Grist JJ, Marro B, Lane TE.",Clin Immunol. 2018 Apr;189:52-56. doi: 10.1016/j.clim.2016.05.009. Epub 2016 Jun 8.,Grist JJ,Clin Immunol,2018,2016/06/12
28974284,A Comparison of China's Risk Communication in Response to SARS and H7N9 Using Principles Drawn From International Practice,"Qiu W, Chu C, Hou X, Rutherford S, Zhu B, Tong Z, Mao A.",Disaster Med Public Health Prep. 2018 Oct;12(5):587-598. doi: 10.1017/dmp.2017.114. Epub 2017 Oct 4.,Qiu W,Disaster Med Public Health Prep,2018,2017/10/05
28840782,Comparison of three blood transfusion guidelines applied to 31 feline donors to minimise the risk of transfusion-transmissible infections,"Marenzoni ML, Lauzi S, Miglio A, Coletti M, Arbia A, Paltrinieri S, Antognoni MT.",J Feline Med Surg. 2018 Aug;20(8):663-673. doi: 10.1177/1098612X17727233. Epub 2017 Aug 25.,Marenzoni ML,J Feline Med Surg,2018,2017/08/26
28574363,Analysis of the Genome Sequence and Prediction of B-Cell Epitopes of the Envelope Protein of Middle East Respiratory Syndrome-Coronavirus,"Xie Q, He X, Yang F, Liu X, Li Y, Liu Y, Yang Z, Yu J, Zhang B, Zhao W.",IEEE/ACM Trans Comput Biol Bioinform. 2018 Jul-Aug;15(4):1344-1350. doi: 10.1109/TCBB.2017.2702588. Epub 2017 May 29.,Xie Q,IEEE/ACM Trans Comput Biol Bioinform,2018,2017/06/03
28958834,High reproduction number of Middle East respiratory syndrome coronavirus in nosocomial outbreaks: mathematical modelling in Saudi Arabia and South Korea,"Choi S, Jung E, Choi BY, Hur YJ, Ki M.",J Hosp Infect. 2018 Jun;99(2):162-168. doi: 10.1016/j.jhin.2017.09.017. Epub 2017 Sep 25.,Choi S,J Hosp Infect,2018,2017/09/30
28797733,Propagation of respiratory viruses in human airway epithelia reveals persistent virus-specific signatures,"Essaidi-Laziosi M, Brito F, Benaoudia S, Royston L, Cagno V, Fernandes-Rocha M, Piuz I, Zdobnov E, Huang S, Constant S, Boldi MO, Kaiser L, Tapparel C.",J Allergy Clin Immunol. 2018 Jun;141(6):2074-2084. doi: 10.1016/j.jaci.2017.07.018. Epub 2017 Aug 8.,Essaidi-Laziosi M,J Allergy Clin Immunol,2018,2017/08/12
29851308,"Outbreak of porcine epidemic diarrhoea virus (PEDV) in Abruzzi region, central-Italy","Pizzurro F, Cito F, Zaccaria G, Spedicato M, Cerella A, Orsini M, Forzan M, D'Alterio N, Lorusso A, Marcacci M.",Vet Med Sci. 2018 May;4(2):73-79. doi: 10.1002/vms3.88. Epub 2017 Dec 18.,Pizzurro F,Vet Med Sci,2018,2018/06/01
29239118,Zoonotic origin and transmission of Middle East respiratory syndrome coronavirus in the UAE,"Paden CR, Yusof MFBM, Al Hammadi ZM, Queen K, Tao Y, Eltahir YM, Elsayed EA, Marzoug BA, Bensalah OKA, Khalafalla AI, Al Mulla M, Khudhair A, Elkheir KA, Issa ZB, Pradeep K, Elsaleh FN, Imambaccus H, Sasse J, Weber S, Shi M, Zhang J, Li Y, Pham H, Kim L, Hall AJ, Gerber SI, Al Hosani FI, Tong S, Al Muhairi SSM.",Zoonoses Public Health. 2018 May;65(3):322-333. doi: 10.1111/zph.12435. Epub 2017 Dec 13.,Paden CR,Zoonoses Public Health,2018,2017/12/15
28993171,Cross-sectional study of MERS-CoV-specific RNA and antibodies in animals that have had contact with MERS patients in Saudi Arabia,"Kasem S, Qasim I, Al-Hufofi A, Hashim O, Alkarar A, Abu-Obeida A, Gaafer A, Elfadil A, Zaki A, Al-Romaihi A, Babekr N, El-Harby N, Hussien R, Al-Sahaf A, Al-Doweriej A, Bayoumi F, Poon LLM, Chu DKW, Peiris M, Perera RAPM.",J Infect Public Health. 2018 May-Jun;11(3):331-338. doi: 10.1016/j.jiph.2017.09.022. Epub 2017 Oct 6.,Kasem S,J Infect Public Health,2018,2017/10/11
29288049,Development of a recombinase polymerase amplification combined with lateral-flow dipstick assay for detection of bovine ephemeral fever virus,"Hou P, Zhao G, Wang H, He C, Huan Y, He H.",Mol Cell Probes. 2018 Apr;38:31-37. doi: 10.1016/j.mcp.2017.12.003. Epub 2017 Dec 26.,Hou P,Mol Cell Probes,2018,2017/12/31
29279138,"Viral metagenomics, protein structure, and reverse genetics: Key strategies for investigating coronaviruses","Johnson BA, Graham RL, Menachery VD.",Virology. 2018 Apr;517:30-37. doi: 10.1016/j.virol.2017.12.009. Epub 2017 Dec 24.,Johnson BA,Virology,2018,2017/12/28
29277291,Adaptive evolution influences the infectious dose of MERS-CoV necessary to achieve severe respiratory disease,"Douglas MG, Kocher JF, Scobey T, Baric RS, Cockrell AS.",Virology. 2018 Apr;517:98-107. doi: 10.1016/j.virol.2017.12.006. Epub 2017 Dec 23.,Douglas MG,Virology,2018,2017/12/27
29275820,Physiological and molecular triggers for SARS-CoV membrane fusion and entry into host cells,"Millet JK, Whittaker GR.",Virology. 2018 Apr;517:3-8. doi: 10.1016/j.virol.2017.12.015. Epub 2017 Dec 21.,Millet JK,Virology,2018,2017/12/26
29249267,Coronaviruses and arteriviruses display striking differences in their cyclophilin A-dependence during replication in cell culture,"de Wilde AH, Zevenhoven-Dobbe JC, Beugeling C, Chatterji U, de Jong D, Gallay P, Szuhai K, Posthuma CC, Snijder EJ.",Virology. 2018 Apr;517:148-156. doi: 10.1016/j.virol.2017.11.022. Epub 2017 Dec 15.,de Wilde AH,Virology,2018,2017/12/19
29249266,Differential gene modulation of pattern-recognition receptor TLR and RIG-I-like and downstream mediators on intestinal mucosa of pigs infected with PEDV non S-INDEL and PEDV S-INDEL strains,"Temeeyasen G, Sinha A, Gimenez-Lirola LG, Zhang JQ, Piñeyro PE.",Virology. 2018 Apr;517:188-198. doi: 10.1016/j.virol.2017.11.024. Epub 2017 Dec 14.,Temeeyasen G,Virology,2018,2017/12/19
29243063,"Molecular characterization of the spike gene of the porcine epidemic diarrhea virus in Mexico, 2013-2016","Lara-Romero R, Gómez-Núñez L, Cerriteño-Sánchez JL, Márquez-Valdelamar L, Mendoza-Elvira S, Ramírez-Mendoza H, Rivera-Benítez JF.",Virus Genes. 2018 Apr;54(2):215-224. doi: 10.1007/s11262-017-1528-x. Epub 2017 Dec 14.,Lara-Romero R,Virus Genes,2018,2017/12/16
29223446,Structural and functional conservation of cis-acting RNA elements in coronavirus 5'-terminal genome regions,"Madhugiri R, Karl N, Petersen D, Lamkiewicz K, Fricke M, Wend U, Scheuer R, Marz M, Ziebuhr J.",Virology. 2018 Apr;517:44-55. doi: 10.1016/j.virol.2017.11.025. Epub 2017 Dec 6.,Madhugiri R,Virology,2018,2017/12/11
29217279,Wild-type human coronaviruses prefer cell-surface TMPRSS2 to endosomal cathepsins for cell entry,"Shirato K, Kawase M, Matsuyama S.",Virology. 2018 Apr;517:9-15. doi: 10.1016/j.virol.2017.11.012. Epub 2017 Dec 6.,Shirato K,Virology,2018,2017/12/09
29199039,The coronavirus nucleocapsid protein is ADP-ribosylated,"Grunewald ME, Fehr AR, Athmer J, Perlman S.",Virology. 2018 Apr;517:62-68. doi: 10.1016/j.virol.2017.11.020. Epub 2017 Dec 1.,Grunewald ME,Virology,2018,2017/12/05
29154963,Macrophage scavenger receptor 1 contributes to pathogenesis of fulminant hepatitis via neutrophil-mediated complement activation,"Tang Y, Li H, Li J, Liu Y, Li Y, Zhou J, Zhou J, Lu X, Zhao W, Hou J, Wang XY, Chen Z, Zuo D.",J Hepatol. 2018 Apr;68(4):733-743. doi: 10.1016/j.jhep.2017.11.010. Epub 2017 Nov 14.,Tang Y,J Hepatol,2018,2017/11/21
29153641,A Middle East respiratory syndrome screening clinic for health care personnel during the 2015 Middle East respiratory syndrome outbreak in South Korea: A single-center experience,"Lee JY, Kim G, Lim DG, Jee HG, Jang Y, Joh JS, Jeong I, Kim Y, Kim E, Chin BS.",Am J Infect Control. 2018 Apr;46(4):436-440. doi: 10.1016/j.ajic.2017.09.017. Epub 2017 Nov 16.,Lee JY,Am J Infect Control,2018,2017/11/21
